item_name,item_rating,item_price 
Back Cover Transparent Acrylic Shockproof For Samsung Galaxy A22 - Green ,0%, was EGP99.00     Special Price EGP59.00
Glass Screen Protector For Samsung Galaxy A70 - Black ,0%, was EGP79.00     Special Price EGP49.00
Samsung Galaxy S22 Ultra Smart Clear View Cover - Black ,0%, was EGP1499.00     Special Price EGP1099.00
Back Cover Leather For Samsung Galaxy A32 - Black ,0%, was EGP179.00     Special Price EGP149.00
Back Cover Leather For Samsung Galaxy A32 - Blue ,0%, was EGP179.00     Special Price EGP149.00
Boter Back Cover for Samsung Galaxy A72 - Blue ,0%, EGP149.00
Boter Back Cover for Samsung Galaxy A72 - Red ,0%, EGP149.00
Boter Back Cover for Samsung Galaxy A72 - Green ,0%, EGP149.00
Boter Back Cover for Samsung Galaxy A72 - Black ,0%, EGP149.00
Back Cover Leather For Samsung Galaxy A32 - Red ,0%, was EGP149.00     Special Price EGP99.00
Glass Screen Protector For Samsung Galaxy S23 Ultra - Black ,0%, EGP399.00
Back Cover Leather For Samsung Galaxy S22 Ultra - Black ,0%, was EGP359.00     Special Price EGP299.00
Back Cover leather For Samsung Galaxy S22 Plus - Blue ,0%, was EGP359.00     Special Price EGP299.00
Back Cover leather For Samsung Galaxy S22 Plus - Green ,0%, was EGP359.00     Special Price EGP299.00
Silicone Back Cover for Samsung Galaxy A32 - Dark Blue ,0%, was EGP99.00     Special Price EGP49.00
Silicone Back Cover for Samsung Galaxy A32 - Pink ,0%, was EGP99.00     Special Price EGP49.00
Glass Screen Protector For Samsung Galaxy S23 Plus - Black ,0%, EGP399.00
Back cover Leather For Samsung Galaxy S23 Ultra Cover With Card Slot Wallet Magnetic Cardholder Stand Shockproof Case - Blue ,0%, EGP599.00
Cover Leather Wrapped PC Inner Shell for Samsung Galaxy Z Flip 4 - Blue ,0%, was EGP499.00     Special Price EGP449.00
Silicone Back Cover For Samsung Galaxy A52 - Yellow ,0%, was EGP99.00     Special Price EGP59.00
Silicone Back Cover for Samsung Galaxy A23 - Red ,0%, was EGP99.00     Special Price EGP49.00
Back Cover leather For Samsung Galaxy S22 Plus - Black ,0%, was EGP359.00     Special Price EGP299.00
Back Cover leather For Samsung Galaxy A73 - Blue ,0%, EGP249.00
Back Cover leather For Samsung Galaxy A53 - Blue ,0%, EGP249.00
Armor Screen Nano Glass anti Broken for Samsung Galaxy A13 ,0%, EGP199.00
Glass Screen Protector For Samsung Galaxy A73 - Black ,0%, was EGP149.00     Special Price EGP99.00
